id_trt,id_cont
920344,930857
922559,933658
922754,903751
923025,916560
923039,900758
923304,915582
923516,916910
924040,902519
924188,907501
924546,923147
925417,929686
925747,928855
926997,922590
927252,919870
927307,919379
927381,930475
927714,926259
927939,926513
929922,917652
930220,917637
930501,931380
931354,915267
932002,922415
933259,917585
933408,911149
933756,902215
933766,927969
900623,923728
901019,917439
901464,925675
902856,929428
902958,913400
903420,900024
903737,921582
903774,932894
903981,918170
904209,924321
904493,908303
904866,932558
905908,925696
906449,928853
907226,909726
907502,920712
908560,921119
908914,911747
911266,921387
912422,924672
913496,926919
913546,904142
914276,918269
914697,931303
915243,933373
916212,924631
916307,931340
916424,901111
916607,923480
917959,905320
918733,918632
918917,929217
919527,903327
919739,920179
919932,904796
920052,903639
921554,924093
922718,926393
923007,915038
923250,928218
923751,902058
923817,918703
923967,905002
924060,933003
924120,915355
924163,926200
924323,911960
924822,906906
924864,927050
924962,932497
928272,916032
932125,903448
932363,908061
933029,927159
900170,908450
900384,931231
900782,919691
901057,911569
901178,905658
901324,927959
901441,930810
901803,930347
902186,916572
904210,924565
904429,921992
904727,931428
904984,905080
905117,917485
905266,920534
905367,905086
906758,906606
907126,928101
908976,933175
909076,924759
909957,933104
910702,911869
911486,927312
912106,926243
912495,933443
912880,904704
913557,933643
914696,909781
917251,926685
918341,917535
918615,915295
919432,906146
919778,933639
919919,927550
920617,911585
920822,917542
921281,901123
921411,901794
922678,910542
922977,913569
923365,921874
923545,919337
923693,927219
923775,904755
924530,913842
924576,931964
924641,919507
926006,920723
926088,933404
927393,925844
927454,923755
927490,929757
928141,922385
929465,908060
930737,918683
931215,906089
931439,923888
933135,932274
933532,929552
900181,917312
900404,911930
900854,930561
901217,929756
901557,915529
902370,904854
903598,929460
903994,904386
904106,928820
904669,902871
904931,915643
905816,924554
905949,913606
907287,900853
907661,916684
908211,907872
908298,921011
908411,911736
908604,900244
909192,914548
909916,913005
911288,916602
911368,919985
911661,917742
913812,921947
914200,915501
915478,912878
915703,908370
915982,905622
917195,918111
918257,919010
918899,906815
919429,926428
919806,901793
920202,911652
922324,924990
922423,931333
922616,908076
922630,906911
922785,933878
923129,906265
923356,917434
924262,900614
924955,923483
925843,906125
926402,912546
926988,932071
927411,910342
927589,901501
928335,915185
929353,929593
929441,926772
930392,924915
930657,908208
930841,908923
931082,922009
931454,923626
932576,919766
933248,907285
900633,924051
900764,931267
901452,919722
901483,929724
901670,930328
901720,901128
902252,929572
902291,922263
902538,902663
903130,916604
904102,908462
904886,910475
905132,904157
905430,933318
905685,924553
906994,918860
908745,900397
908881,926981
909929,933006
910706,929096
912391,931434
914112,915235
915620,922544
916051,931188
917465,909907
918091,910508
918357,904711
918667,914359
918997,908524
919060,905724
920281,916810
920353,932400
920372,926756
920855,900996
921460,931517
921938,929541
923300,917296
923372,919704
925524,929396
926656,933155
926661,925902
927376,902860
927781,926140
927918,930377
928367,913832
928478,933206
929876,909849
930419,923343
930487,911750
931095,910484
931179,927494
931375,901330
932199,903877
932489,927320
933935,912947
901006,913762
901317,901820
901373,933015
901543,932370
902222,923831
903206,917185
904783,915944
905501,912471
906241,918376
906532,905864
907664,900762
908360,902792
909340,924578
909516,901514
910119,931103
911301,904948
913594,909702
913914,932366
914189,902271
914455,926647
915241,918965
915791,910845
918049,914126
919263,924308
919319,914056
922032,923389
922173,918939
924352,926530
925381,915724
926826,932212
927542,914324
927624,933628
928209,915274
929502,919460
930797,930230
933005,913011
933627,925893
901285,925481
901777,911159
902152,931280
902326,914552
903337,932356
904262,908424
904725,912799
904989,916593
905306,909796
905940,931409
907738,929174
908617,911226
908730,932993
909875,904246
911533,914965
911806,902623
912086,928754
912512,914403
912636,915901
913103,923405
913124,918492
913299,927936
913365,921586
914033,922855
914539,901639
914647,919474
915031,920870
915657,928522
915663,928019
916505,931477
917751,900814
917813,928475
917881,912539
918544,922210
919456,925432
919873,932679
920752,918444
921640,921193
923247,927107
925654,903256
926247,930528
926369,921702
927601,913054
929102,907308
929539,917898
930160,915304
930817,923658
931634,903390
933884,932720
900572,904451
900842,917828
903272,931396
903706,931135
904053,915320
904331,920270
904367,927016
905188,930436
905433,923342
907533,931871
910447,933114
910544,923287
910625,914241
911657,925319
912644,932541
913240,900610
915177,926080
915596,932221
915719,920470
917715,922012
917901,920554
918040,932394
919407,929043
919479,917350
